FIRST NAME,RANK,FREQUENCY (COUNT),"PROPORTION PER 100,000 POPULATION",CUMULATIVE PROPORTION,MALE,FEMALE
MICHAEL,1,"3,476,721","1,151.11","1,151.11","3,469,434","7,287"
JOHN,2,"3,125,123","1,034.70","2,185.81","3,118,620","6,503"
JAMES,3,"2,996,421",992.09,"3,177.90","2,992,500","3,921"
DAVID,4,"2,813,017",931.37,"4,109.27","2,810,463","2,554"
ROBERT,5,"2,759,339",913.59,"5,022.86","2,756,604","2,735"
WILLIAM,6,"2,240,114",741.68,"5,764.54","2,237,906","2,208"
MARY,7,"1,768,343",585.48,"6,350.02","2,840","1,765,503"
MARIA,8,"1,652,966",547.28,"6,897.31","3,889","1,649,077"
DANIEL,9,"1,607,193",532.13,"7,429.44","1,601,625","5,568"
JOSEPH,10,"1,600,667",529.97,"7,959.40","1,598,759","1,908"
RICHARD,11,"1,575,998",521.8,"8,481.20","1,574,600","1,398"
THOMAS,12,"1,506,606",498.82,"8,980.03","1,505,122","1,484"
CHRISTOPHER,13,"1,499,872",496.59,"9,476.62","1,497,658","2,214"
JENNIFER,14,"1,331,077",440.71,"9,917.33",977,"1,330,100"
MATTHEW,15,"1,315,151",435.43,"10,352.76","1,313,918","1,233"
JOSE,16,"1,211,106",400.99,"10,753.75","1,208,093","3,013"
CHARLES,17,"1,207,972",399.95,"11,153.70","1,206,062","1,910"
ELIZABETH,18,"1,206,652",399.51,"11,553.21","1,112","1,205,540"
PATRICIA,19,"1,189,825",393.94,"11,947.15",955,"1,188,870"
LINDA,20,"1,164,876",385.68,"12,332.83",852,"1,164,024"
MARK,21,"1,135,541",375.97,"12,708.80","1,134,407","1,134"
ANDREW,22,"1,075,513",356.09,"13,064.89","1,073,982","1,531"
ANTHONY,23,"1,075,181",355.98,"13,420.87","1,073,504","1,677"
KEVIN,24,"1,015,227",336.13,"13,757.01","1,013,440","1,787"
BRIAN,25,"1,011,020",334.74,"14,091.75","1,009,891","1,129"
SUSAN,26,"979,771",324.39,"14,416.14",564,"979,207"
STEVEN,27,"972,808",322.09,"14,738.23","971,970",838
JESSICA,28,"957,447",317,"15,055.23",950,"956,497"
BARBARA,29,"943,006",312.22,"15,367.45",718,"942,288"
JOSHUA,30,"939,718",311.13,"15,678.58","938,250","1,468"
PAUL,31,"907,225",300.37,"15,978.96","906,116","1,109"
JASON,32,"898,652",297.54,"16,276.50","897,619","1,033"
KAREN,33,"882,576",292.21,"16,568.71","1,820","880,756"
RYAN,34,"874,269",289.46,"16,858.17","853,642","20,627"
SARAH,35,"874,128",289.42,"17,147.59",929,"873,199"
LISA,36,"864,260",286.15,"17,433.74",627,"863,633"
JACOB,37,"805,730",266.77,"17,700.51","804,558","1,172"
TIMOTHY,38,"802,946",265.85,"17,966.35","802,219",727
SANDRA,39,"780,828",258.53,"18,224.88",705,"780,123"
NANCY,40,"772,570",255.79,"18,480.67",644,"771,926"
ERIC,41,"767,096",253.98,"18,734.65","765,929","1,167"
MICHELLE,42,"757,098",250.67,"18,985.32","1,278","755,820"
KENNETH,43,"755,679",250.2,"19,235.52","754,856",823
EMILY,44,"755,529",250.15,"19,485.67",930,"754,599"
ASHLEY,45,"752,330",249.09,"19,734.76","11,218","741,112"
JEFFREY,46,"735,428",243.49,"19,978.25","734,826",602
JONATHAN,47,"717,208",237.46,"20,215.71","716,232",976
DONALD,48,"715,624",236.94,"20,452.65","714,856",768
NICHOLAS,49,"711,305",235.51,"20,688.15","710,370",935
AMANDA,50,"698,989",231.43,"20,919.58",618,"698,371"
KIMBERLY,51,"696,165",230.49,"21,150.08","1,482","694,683"
RONALD,52,"689,843",228.4,"21,378.48","689,245",598
LAURA,53,"679,856",225.09,"21,603.57",596,"679,260"
MELISSA,54,"675,224",223.56,"21,827.13",599,"674,625"
JUSTIN,55,"668,566",221.36,"22,048.49","666,981","1,585"
STEPHEN,56,"665,596",220.37,"22,268.86","664,892",704
STEPHANIE,57,"657,760",217.78,"22,486.64",609,"657,151"
GARY,58,"656,593",217.39,"22,704.03","655,765",828
SCOTT,59,"655,952",217.18,"22,921.21","655,267",685
JUAN,60,"655,696",217.1,"23,138.31","651,479","4,217"
REBECCA,61,"645,350",213.67,"23,351.98",448,"644,902"
BRANDON,62,"642,620",212.77,"23,564.75","640,794","1,826"
DONNA,63,"635,065",210.26,"23,775.01",563,"634,502"
GEORGE,64,"631,924",209.22,"23,984.23","630,400","1,524"
AMY,65,"625,127",206.97,"24,191.21",505,"624,622"
DEBORAH,66,"622,217",206.01,"24,397.22",380,"621,837"
EDWARD,67,"616,122",203.99,"24,601.21","615,401",721
CAROL,68,"614,466",203.44,"24,804.66","2,713","611,753"
BENJAMIN,69,"606,324",200.75,"25,005.40","605,580",744
ANGELA,70,"600,162",198.71,"25,204.11",836,"599,326"
CYNTHIA,71,"597,780",197.92,"25,402.03",454,"597,326"
SHARON,72,"583,755",193.28,"25,595.31","1,134","582,621"
SAMUEL,73,"566,085",187.43,"25,782.73","565,090",995
ALEXANDER,74,"556,757",184.34,"25,967.07","554,289","2,468"
PATRICK,75,"551,884",182.72,"26,149.80","551,104",780
MARGARET,76,"549,715",182.01,"26,331.80",556,"549,159"
KATHLEEN,77,"547,321",181.21,"26,513.01",278,"547,043"
NICOLE,78,"544,076",180.14,"26,693.15",773,"543,303"
TYLER,79,"541,525",179.29,"26,872.45","527,058","14,467"
BRENDA,80,"521,400",172.63,"27,045.08",639,"520,761"
SAMANTHA,81,"517,508",171.34,"27,216.42",660,"516,848"
ANNA,82,"512,954",169.83,"27,386.26",657,"512,297"
LARRY,83,"512,456",169.67,"27,555.93","511,764",692
GREGORY,84,"503,949",166.85,"27,722.78","503,419",530
KELLY,85,"499,222",165.29,"27,888.07","61,702","437,520"
EMMA,86,"498,221",164.96,"28,053.02",786,"497,435"
ADAM,87,"496,300",164.32,"28,217.34","495,516",784
PAMELA,88,"495,991",164.22,"28,381.56",291,"495,700"
AARON,89,"494,237",163.64,"28,545.20","491,571","2,666"
RACHEL,90,"493,726",163.47,"28,708.67",572,"493,154"
LUIS,91,"489,968",162.22,"28,870.89","488,505","1,463"
CHRISTINE,92,"482,596",159.78,"29,030.68",558,"482,038"
NATHAN,93,"481,621",159.46,"29,190.14","480,994",627
HEATHER,94,"473,464",156.76,"29,346.90",325,"473,139"
CARLOS,95,"473,046",156.62,"29,503.52","471,886","1,160"
KATHERINE,96,"470,588",155.81,"29,659.32",404,"470,184"
JULIE,97,"467,484",154.78,"29,814.10",421,"467,063"
DEBRA,98,"465,857",154.24,"29,968.35",300,"465,557"
PETER,99,"464,396",153.76,"30,122.10","463,907",489
VICTORIA,100,"452,646",149.87,"30,271.97",672,"451,974"
JORDAN,101,"452,330",149.76,"30,421.73","329,734","122,596"
OLIVIA,102,"449,373",148.78,"30,570.52",582,"448,791"
LAUREN,103,"449,365",148.78,"30,719.30","3,304","446,061"
DENNIS,104,"448,312",148.43,"30,867.73","446,940","1,372"
KYLE,105,"436,151",144.41,"31,012.14","428,758","7,393"
ZACHARY,106,"435,262",144.11,"31,156.25","434,625",637
ANDREA,107,"429,407",142.17,"31,298.42","5,296","424,111"
JANET,108,"429,159",142.09,"31,440.51",386,"428,773"
CHRISTINA,109,"423,584",140.24,"31,580.76",494,"423,090"
DIANE,110,"422,752",139.97,"31,720.72",348,"422,404"
CHRISTIAN,111,"415,787",137.66,"31,858.39","398,291","17,496"
JACK,112,"415,678",137.63,"31,996.02","414,623","1,055"
CATHERINE,113,"410,557",135.93,"32,131.95",345,"410,212"
MEGAN,114,"409,941",135.73,"32,267.68",455,"409,486"
FRANK,115,"407,086",134.78,"32,402.46","406,462",624
ETHAN,116,"403,009",133.43,"32,535.89","402,294",715
HANNAH,117,"402,723",133.34,"32,669.23",500,"402,223"
TERESA,118,"402,455",133.25,"32,802.48",402,"402,053"
TAYLOR,119,"389,216",128.87,"32,931.34","95,501","293,715"
SARA,120,"384,257",127.22,"33,058.57",480,"383,777"
CAROLYN,121,"384,056",127.16,"33,185.73",331,"383,725"
DOUGLAS,122,"383,164",126.86,"33,312.59","382,805",359
BETTY,123,"382,966",126.8,"33,439.38",504,"382,462"
SEAN,124,"377,127",124.86,"33,564.25","375,045","2,082"
TERRY,125,"376,955",124.81,"33,689.05","299,571","77,384"
JUDITH,126,"376,697",124.72,"33,813.78",275,"376,422"
ALEX,127,"373,467",123.65,"33,937.43","350,569","22,898"
JEREMY,128,"372,715",123.4,"34,060.83","371,936",779
NOAH,129,"372,421",123.31,"34,184.14","370,028","2,393"
CHERYL,130,"372,341",123.28,"34,307.41",257,"372,084"
DIANA,131,"369,707",122.41,"34,429.82",426,"369,281"
JERRY,132,"369,611",122.37,"34,552.20","362,580","7,031"
MARTHA,133,"368,239",121.92,"34,674.12",521,"367,718"
